New game-a
Player 1 starts: 4
Player 2 starts: 8

P1 rolls 1 2 3, total 6, move to 10, score: 10
P2 rolls 4 5 6, total 15, move to 3, score: 3
P1 rolls 7 8 9, total 24, move to 4, score: 14
P2 rolls 10 11 12, total 33, move to 6, score: 9
P1 rolls 13 14 15, total 42, move to 6, score: 20
P2 rolls 16 17 18, total 51, move to 7, score: 16
P1 rolls 19 20 21, total 60, move to 6, score: 26
P2 rolls 22 23 24, total 69, move to 6, score: 22
P1 rolls 25 26 27, total 78, move to 4, score: 30
P2 rolls 28 29 30, total 87, move to 3, score: 25
P1 rolls 31 32 33, total 96, move to 10, score: 40
P2 rolls 34 35 36, total 105, move to 8, score: 33
P1 rolls 37 38 39, total 114, move to 4, score: 44
P2 rolls 40 41 42, total 123, move to 1, score: 34
P1 rolls 43 44 45, total 132, move to 6, score: 50
P2 rolls 46 47 48, total 141, move to 2, score: 36
P1 rolls 49 50 51, total 150, move to 6, score: 56
P2 rolls 52 53 54, total 159, move to 1, score: 37
P1 rolls 55 56 57, total 168, move to 4, score: 60
P2 rolls 58 59 60, total 177, move to 8, score: 45
P1 rolls 61 62 63, total 186, move to 10, score: 70
P2 rolls 64 65 66, total 195, move to 3, score: 48
P1 rolls 67 68 69, total 204, move to 4, score: 74
P2 rolls 70 71 72, total 213, move to 6, score: 54
P1 rolls 73 74 75, total 222, move to 6, score: 80
P2 rolls 76 77 78, total 231, move to 7, score: 61
P1 rolls 79 80 81, total 240, move to 6, score: 86
P2 rolls 82 83 84, total 249, move to 6, score: 67
P1 rolls 85 86 87, total 258, move to 4, score: 90
P2 rolls 88 89 90, total 267, move to 3, score: 70
P1 rolls 91 92 93, total 276, move to 10, score: 100
P2 rolls 94 95 96, total 285, move to 8, score: 78
P1 rolls 97 98 99, total 294, move to 4, score: 104
P2 rolls 100 1 2, total 103, move to 1, score: 79
P1 rolls 3 4 5, total 12, move to 6, score: 110
P2 rolls 6 7 8, total 21, move to 2, score: 81
P1 rolls 9 10 11, total 30, move to 6, score: 116
P2 rolls 12 13 14, total 39, move to 1, score: 82
P1 rolls 15 16 17, total 48, move to 4, score: 120
P2 rolls 18 19 20, total 57, move to 8, score: 90
P1 rolls 21 22 23, total 66, move to 10, score: 130
P2 rolls 24 25 26, total 75, move to 3, score: 93
P1 rolls 27 28 29, total 84, move to 4, score: 134
P2 rolls 30 31 32, total 93, move to 6, score: 99
P1 rolls 33 34 35, total 102, move to 6, score: 140
P2 rolls 36 37 38, total 111, move to 7, score: 106
P1 rolls 39 40 41, total 120, move to 6, score: 146
P2 rolls 42 43 44, total 129, move to 6, score: 112
P1 rolls 45 46 47, total 138, move to 4, score: 150
P2 rolls 48 49 50, total 147, move to 3, score: 115
P1 rolls 51 52 53, total 156, move to 10, score: 160
P2 rolls 54 55 56, total 165, move to 8, score: 123
P1 rolls 57 58 59, total 174, move to 4, score: 164
P2 rolls 60 61 62, total 183, move to 1, score: 124
P1 rolls 63 64 65, total 192, move to 6, score: 170
P2 rolls 66 67 68, total 201, move to 2, score: 126
P1 rolls 69 70 71, total 210, move to 6, score: 176
P2 rolls 72 73 74, total 219, move to 1, score: 127
P1 rolls 75 76 77, total 228, move to 4, score: 180
P2 rolls 78 79 80, total 237, move to 8, score: 135
P1 rolls 81 82 83, total 246, move to 10, score: 190
P2 rolls 84 85 86, total 255, move to 3, score: 138
P1 rolls 87 88 89, total 264, move to 4, score: 194
P2 rolls 90 91 92, total 273, move to 6, score: 144
P1 rolls 93 94 95, total 282, move to 6, score: 200
P2 rolls 96 97 98, total 291, move to 7, score: 151
P1 rolls 99 100 1, total 200, move to 6, score: 206
P2 rolls 2 3 4, total 9, move to 6, score: 157
P1 rolls 5 6 7, total 18, move to 4, score: 210
P2 rolls 8 9 10, total 27, move to 3, score: 160
P1 rolls 11 12 13, total 36, move to 10, score: 220
P2 rolls 14 15 16, total 45, move to 8, score: 168
P1 rolls 17 18 19, total 54, move to 4, score: 224
P2 rolls 20 21 22, total 63, move to 1, score: 169
P1 rolls 23 24 25, total 72, move to 6, score: 230
P2 rolls 26 27 28, total 81, move to 2, score: 171
P1 rolls 29 30 31, total 90, move to 6, score: 236
P2 rolls 32 33 34, total 99, move to 1, score: 172
P1 rolls 35 36 37, total 108, move to 4, score: 240
P2 rolls 38 39 40, total 117, move to 8, score: 180
P1 rolls 41 42 43, total 126, move to 10, score: 250
P2 rolls 44 45 46, total 135, move to 3, score: 183
P1 rolls 47 48 49, total 144, move to 4, score: 254
P2 rolls 50 51 52, total 153, move to 6, score: 189
P1 rolls 53 54 55, total 162, move to 6, score: 260
P2 rolls 56 57 58, total 171, move to 7, score: 196
P1 rolls 59 60 61, total 180, move to 6, score: 266
P2 rolls 62 63 64, total 189, move to 6, score: 202
P1 rolls 65 66 67, total 198, move to 4, score: 270
P2 rolls 68 69 70, total 207, move to 3, score: 205
P1 rolls 71 72 73, total 216, move to 10, score: 280
P2 rolls 74 75 76, total 225, move to 8, score: 213
P1 rolls 77 78 79, total 234, move to 4, score: 284
P2 rolls 80 81 82, total 243, move to 1, score: 214
P1 rolls 83 84 85, total 252, move to 6, score: 290
P2 rolls 86 87 88, total 261, move to 2, score: 216
P1 rolls 89 90 91, total 270, move to 6, score: 296
P2 rolls 92 93 94, total 279, move to 1, score: 217
P1 rolls 95 96 97, total 288, move to 4, score: 300
P2 rolls 98 99 100, total 297, move to 8, score: 225
P1 rolls 1 2 3, total 6, move to 10, score: 310
P2 rolls 4 5 6, total 15, move to 3, score: 228
P1 rolls 7 8 9, total 24, move to 4, score: 314
P2 rolls 10 11 12, total 33, move to 6, score: 234
P1 rolls 13 14 15, total 42, move to 6, score: 320
P2 rolls 16 17 18, total 51, move to 7, score: 241
P1 rolls 19 20 21, total 60, move to 6, score: 326
P2 rolls 22 23 24, total 69, move to 6, score: 247
P1 rolls 25 26 27, total 78, move to 4, score: 330
P2 rolls 28 29 30, total 87, move to 3, score: 250
P1 rolls 31 32 33, total 96, move to 10, score: 340
P2 rolls 34 35 36, total 105, move to 8, score: 258
P1 rolls 37 38 39, total 114, move to 4, score: 344
P2 rolls 40 41 42, total 123, move to 1, score: 259
P1 rolls 43 44 45, total 132, move to 6, score: 350
P2 rolls 46 47 48, total 141, move to 2, score: 261
P1 rolls 49 50 51, total 150, move to 6, score: 356
P2 rolls 52 53 54, total 159, move to 1, score: 262
P1 rolls 55 56 57, total 168, move to 4, score: 360
P2 rolls 58 59 60, total 177, move to 8, score: 270
P1 rolls 61 62 63, total 186, move to 10, score: 370
P2 rolls 64 65 66, total 195, move to 3, score: 273
P1 rolls 67 68 69, total 204, move to 4, score: 374
P2 rolls 70 71 72, total 213, move to 6, score: 279
P1 rolls 73 74 75, total 222, move to 6, score: 380
P2 rolls 76 77 78, total 231, move to 7, score: 286
P1 rolls 79 80 81, total 240, move to 6, score: 386
P2 rolls 82 83 84, total 249, move to 6, score: 292
P1 rolls 85 86 87, total 258, move to 4, score: 390
P2 rolls 88 89 90, total 267, move to 3, score: 295
P1 rolls 91 92 93, total 276, move to 10, score: 400
P2 rolls 94 95 96, total 285, move to 8, score: 303
P1 rolls 97 98 99, total 294, move to 4, score: 404
P2 rolls 100 1 2, total 103, move to 1, score: 304
P1 rolls 3 4 5, total 12, move to 6, score: 410
P2 rolls 6 7 8, total 21, move to 2, score: 306
P1 rolls 9 10 11, total 30, move to 6, score: 416
P2 rolls 12 13 14, total 39, move to 1, score: 307
P1 rolls 15 16 17, total 48, move to 4, score: 420
P2 rolls 18 19 20, total 57, move to 8, score: 315
P1 rolls 21 22 23, total 66, move to 10, score: 430
P2 rolls 24 25 26, total 75, move to 3, score: 318
P1 rolls 27 28 29, total 84, move to 4, score: 434
P2 rolls 30 31 32, total 93, move to 6, score: 324
P1 rolls 33 34 35, total 102, move to 6, score: 440
P2 rolls 36 37 38, total 111, move to 7, score: 331
P1 rolls 39 40 41, total 120, move to 6, score: 446
P2 rolls 42 43 44, total 129, move to 6, score: 337
P1 rolls 45 46 47, total 138, move to 4, score: 450
P2 rolls 48 49 50, total 147, move to 3, score: 340
P1 rolls 51 52 53, total 156, move to 10, score: 460
P2 rolls 54 55 56, total 165, move to 8, score: 348
P1 rolls 57 58 59, total 174, move to 4, score: 464
P2 rolls 60 61 62, total 183, move to 1, score: 349
P1 rolls 63 64 65, total 192, move to 6, score: 470
P2 rolls 66 67 68, total 201, move to 2, score: 351
P1 rolls 69 70 71, total 210, move to 6, score: 476
P2 rolls 72 73 74, total 219, move to 1, score: 352
P1 rolls 75 76 77, total 228, move to 4, score: 480
P2 rolls 78 79 80, total 237, move to 8, score: 360
P1 rolls 81 82 83, total 246, move to 10, score: 490
P2 rolls 84 85 86, total 255, move to 3, score: 363
P1 rolls 87 88 89, total 264, move to 4, score: 494
P2 rolls 90 91 92, total 273, move to 6, score: 369
P1 rolls 93 94 95, total 282, move to 6, score: 500
P2 rolls 96 97 98, total 291, move to 7, score: 376
P1 rolls 99 100 1, total 200, move to 6, score: 506
P2 rolls 2 3 4, total 9, move to 6, score: 382
P1 rolls 5 6 7, total 18, move to 4, score: 510
P2 rolls 8 9 10, total 27, move to 3, score: 385
P1 rolls 11 12 13, total 36, move to 10, score: 520
P2 rolls 14 15 16, total 45, move to 8, score: 393
P1 rolls 17 18 19, total 54, move to 4, score: 524
P2 rolls 20 21 22, total 63, move to 1, score: 394
P1 rolls 23 24 25, total 72, move to 6, score: 530
P2 rolls 26 27 28, total 81, move to 2, score: 396
P1 rolls 29 30 31, total 90, move to 6, score: 536
P2 rolls 32 33 34, total 99, move to 1, score: 397
P1 rolls 35 36 37, total 108, move to 4, score: 540
P2 rolls 38 39 40, total 117, move to 8, score: 405
P1 rolls 41 42 43, total 126, move to 10, score: 550
P2 rolls 44 45 46, total 135, move to 3, score: 408
P1 rolls 47 48 49, total 144, move to 4, score: 554
P2 rolls 50 51 52, total 153, move to 6, score: 414
P1 rolls 53 54 55, total 162, move to 6, score: 560
P2 rolls 56 57 58, total 171, move to 7, score: 421
P1 rolls 59 60 61, total 180, move to 6, score: 566
P2 rolls 62 63 64, total 189, move to 6, score: 427
P1 rolls 65 66 67, total 198, move to 4, score: 570
P2 rolls 68 69 70, total 207, move to 3, score: 430
P1 rolls 71 72 73, total 216, move to 10, score: 580
P2 rolls 74 75 76, total 225, move to 8, score: 438
P1 rolls 77 78 79, total 234, move to 4, score: 584
P2 rolls 80 81 82, total 243, move to 1, score: 439
P1 rolls 83 84 85, total 252, move to 6, score: 590
P2 rolls 86 87 88, total 261, move to 2, score: 441
P1 rolls 89 90 91, total 270, move to 6, score: 596
P2 rolls 92 93 94, total 279, move to 1, score: 442
P1 rolls 95 96 97, total 288, move to 4, score: 600
P2 rolls 98 99 100, total 297, move to 8, score: 450
P1 rolls 1 2 3, total 6, move to 10, score: 610
P2 rolls 4 5 6, total 15, move to 3, score: 453
P1 rolls 7 8 9, total 24, move to 4, score: 614
P2 rolls 10 11 12, total 33, move to 6, score: 459
P1 rolls 13 14 15, total 42, move to 6, score: 620
P2 rolls 16 17 18, total 51, move to 7, score: 466
P1 rolls 19 20 21, total 60, move to 6, score: 626
P2 rolls 22 23 24, total 69, move to 6, score: 472
P1 rolls 25 26 27, total 78, move to 4, score: 630
P2 rolls 28 29 30, total 87, move to 3, score: 475
P1 rolls 31 32 33, total 96, move to 10, score: 640
P2 rolls 34 35 36, total 105, move to 8, score: 483
P1 rolls 37 38 39, total 114, move to 4, score: 644
P2 rolls 40 41 42, total 123, move to 1, score: 484
P1 rolls 43 44 45, total 132, move to 6, score: 650
P2 rolls 46 47 48, total 141, move to 2, score: 486
P1 rolls 49 50 51, total 150, move to 6, score: 656
P2 rolls 52 53 54, total 159, move to 1, score: 487
P1 rolls 55 56 57, total 168, move to 4, score: 660
P2 rolls 58 59 60, total 177, move to 8, score: 495
P1 rolls 61 62 63, total 186, move to 10, score: 670
P2 rolls 64 65 66, total 195, move to 3, score: 498
P1 rolls 67 68 69, total 204, move to 4, score: 674
P2 rolls 70 71 72, total 213, move to 6, score: 504
P1 rolls 73 74 75, total 222, move to 6, score: 680
P2 rolls 76 77 78, total 231, move to 7, score: 511
P1 rolls 79 80 81, total 240, move to 6, score: 686
P2 rolls 82 83 84, total 249, move to 6, score: 517
P1 rolls 85 86 87, total 258, move to 4, score: 690
P2 rolls 88 89 90, total 267, move to 3, score: 520
P1 rolls 91 92 93, total 276, move to 10, score: 700
P2 rolls 94 95 96, total 285, move to 8, score: 528
P1 rolls 97 98 99, total 294, move to 4, score: 704
P2 rolls 100 1 2, total 103, move to 1, score: 529
P1 rolls 3 4 5, total 12, move to 6, score: 710
P2 rolls 6 7 8, total 21, move to 2, score: 531
P1 rolls 9 10 11, total 30, move to 6, score: 716
P2 rolls 12 13 14, total 39, move to 1, score: 532
P1 rolls 15 16 17, total 48, move to 4, score: 720
P2 rolls 18 19 20, total 57, move to 8, score: 540
P1 rolls 21 22 23, total 66, move to 10, score: 730
P2 rolls 24 25 26, total 75, move to 3, score: 543
P1 rolls 27 28 29, total 84, move to 4, score: 734
